Chr	start	end	direction	gene_id
10	58250000	58300000	Rural	ACLI19_g49728
7	7450000	7500000	Rural	ACLI19_g30738
7	7450000	7500000	Rural	ACLI19_g30739
7	7450000	7500000	Rural	ACLI19_g30740
7	7450000	7500000	Rural	ACLI19_g30741
7	7450000	7500000	Rural	ACLI19_g30737
2	23200000	23250000	Rural	ACLI19_g8088
2	23200000	23250000	Rural	ACLI19_g8089
2	23200000	23250000	Rural	ACLI19_g8090
2	23200000	23250000	Rural	ACLI19_g8091
2	23200000	23250000	Rural	ACLI19_g8092
2	23200000	23250000	Rural	ACLI19_g8093
2	23200000	23250000	Rural	ACLI19_g8094
15	56900000	56950000	Rural	ACLI19_g72321
13	15850000	15900000	Rural	ACLI19_g60265
13	15850000	15900000	Rural	ACLI19_g60266
13	15850000	15900000	Rural	ACLI19_g60267
13	39000000	39050000	Rural	ACLI19_g61493
13	39000000	39050000	Rural	ACLI19_g61495
13	39000000	39050000	Rural	ACLI19_g61496
13	39000000	39050000	Rural	ACLI19_g61497
13	39000000	39050000	Rural	ACLI19_g61498
13	39000000	39050000	Rural	ACLI19_g61494
15	3100000	3150000	Rural	ACLI19_g68577
15	3100000	3150000	Rural	ACLI19_g68578
15	3100000	3150000	Rural	ACLI19_g68574
15	3100000	3150000	Rural	ACLI19_g68575
15	3100000	3150000	Rural	ACLI19_g68576
13	50050000	50100000	Rural	ACLI19_g62408
13	50050000	50100000	Rural	ACLI19_g62409
13	50050000	50100000	Rural	ACLI19_g62411
13	50050000	50100000	Rural	ACLI19_g62412
13	50050000	50100000	Rural	ACLI19_g62413
13	50050000	50100000	Rural	ACLI19_g62414
13	50050000	50100000	Rural	ACLI19_g62415
13	50050000	50100000	Rural	ACLI19_g62416
13	50050000	50100000	Rural	ACLI19_g62410
3	17950000	18000000	Rural	ACLI19_g13034
3	17950000	18000000	Rural	ACLI19_g13035
3	17950000	18000000	Rural	ACLI19_g13037
3	17950000	18000000	Rural	ACLI19_g13038
3	17950000	18000000	Rural	ACLI19_g13039
3	17950000	18000000	Rural	ACLI19_g13040
3	17950000	18000000	Rural	ACLI19_g13041
3	17950000	18000000	Rural	ACLI19_g13036
10	20400000	20450000	Rural	ACLI19_g47008
10	20400000	20450000	Rural	ACLI19_g47009
1	10850000	10900000	Rural	ACLI19_g1271
1	10850000	10900000	Rural	ACLI19_g1273
1	10850000	10900000	Rural	ACLI19_g1274
1	10850000	10900000	Rural	ACLI19_g1275
1	10850000	10900000	Rural	ACLI19_g1276
1	10850000	10900000	Rural	ACLI19_g1272
16	16500000	16550000	Rural	ACLI19_g75059
16	16500000	16550000	Rural	ACLI19_g75061
16	16500000	16550000	Rural	ACLI19_g75063
16	16500000	16550000	Rural	ACLI19_g75064
16	16500000	16550000	Rural	ACLI19_g75062
16	16500000	16550000	Rural	ACLI19_g75060
5	46950000	47000000	Rural	ACLI19_g22917
5	46950000	47000000	Rural	ACLI19_g22918
5	46950000	47000000	Rural	ACLI19_g22919
5	46950000	47000000	Rural	ACLI19_g22920
5	46950000	47000000	Rural	ACLI19_g22921
5	46950000	47000000	Rural	ACLI19_g22922
7	7050000	7100000	Rural	ACLI19_g30687
7	7050000	7100000	Rural	ACLI19_g30688
7	7050000	7100000	Rural	ACLI19_g30689
7	7050000	7100000	Rural	ACLI19_g30690
7	7050000	7100000	Rural	ACLI19_g30691
7	7150000	7200000	Rural	ACLI19_g30698
7	7150000	7200000	Rural	ACLI19_g30699
7	7150000	7200000	Rural	ACLI19_g30701
7	7150000	7200000	Rural	ACLI19_g30702
7	7150000	7200000	Rural	ACLI19_g30703
7	7150000	7200000	Rural	ACLI19_g30704
7	7150000	7200000	Rural	ACLI19_g30700
1	54950000	55000000	Rural	ACLI19_g4333
1	54950000	55000000	Rural	ACLI19_g4334
1	54950000	55000000	Rural	ACLI19_g4335
1	54950000	55000000	Rural	ACLI19_g4336
1	54950000	55000000	Rural	ACLI19_g4332
13	14000000	14050000	Rural	ACLI19_g60114
13	14000000	14050000	Rural	ACLI19_g60115
13	14000000	14050000	Rural	ACLI19_g60116
13	14000000	14050000	Rural	ACLI19_g60117
5	12350000	12400000	Rural	ACLI19_g20421
5	12350000	12400000	Rural	ACLI19_g20422
5	12350000	12400000	Rural	ACLI19_g20423
5	12350000	12400000	Rural	ACLI19_g20424
2	33850000	33900000	Rural	ACLI19_g8843
16	11100000	11150000	Rural	ACLI19_g74494
16	11100000	11150000	Rural	ACLI19_g74495
16	11100000	11150000	Rural	ACLI19_g74496
16	11100000	11150000	Rural	ACLI19_g74497
16	11100000	11150000	Rural	ACLI19_g74498
2	43700000	43750000	Rural	ACLI19_g9085
10	57200000	57250000	Rural	ACLI19_g49580
10	57200000	57250000	Rural	ACLI19_g49581
10	57200000	57250000	Rural	ACLI19_g49582
10	57200000	57250000	Rural	ACLI19_g49583
10	57200000	57250000	Rural	ACLI19_g49584
10	57200000	57250000	Rural	ACLI19_g49585
2	35700000	35750000	Rural	ACLI19_g8920
2	35700000	35750000	Rural	ACLI19_g8921
2	35700000	35750000	Rural	ACLI19_g8919
8	30750000	30800000	Rural	ACLI19_g37979
1	20900000	20950000	Rural	ACLI19_g2272
1	20900000	20950000	Rural	ACLI19_g2273
1	20900000	20950000	Rural	ACLI19_g2274
1	20900000	20950000	Rural	ACLI19_g2275
2	60450000	60500000	Rural	ACLI19_g10432
2	60450000	60500000	Rural	ACLI19_g10434
2	60450000	60500000	Rural	ACLI19_g10435
2	60450000	60500000	Rural	ACLI19_g10436
2	60450000	60500000	Rural	ACLI19_g10433
15	8750000	8800000	Rural	ACLI19_g69173
15	8750000	8800000	Rural	ACLI19_g69174
15	8750000	8800000	Rural	ACLI19_g69176
15	8750000	8800000	Rural	ACLI19_g69177
15	8750000	8800000	Rural	ACLI19_g69178
15	8750000	8800000	Rural	ACLI19_g69175
15	8750000	8800000	Rural	ACLI19_g69179
1	20750000	20800000	Rural	ACLI19_g2259
1	20750000	20800000	Rural	ACLI19_g2260
1	20750000	20800000	Rural	ACLI19_g2261
1	20750000	20800000	Rural	ACLI19_g2258
13	55450000	55500000	Rural	ACLI19_g63012
13	55450000	55500000	Rural	ACLI19_g63013
13	55450000	55500000	Rural	ACLI19_g63014
13	55450000	55500000	Rural	ACLI19_g63015
13	55450000	55500000	Rural	ACLI19_g63016
13	55450000	55500000	Rural	ACLI19_g63011
15	25350000	25400000	Rural	ACLI19_g70763
15	25350000	25400000	Rural	ACLI19_g70764
15	25350000	25400000	Rural	ACLI19_g70765
14	22950000	23000000	Rural	ACLI19_g65608
14	22950000	23000000	Rural	ACLI19_g65609
14	22950000	23000000	Rural	ACLI19_g65610
14	22950000	23000000	Rural	ACLI19_g65612
14	22950000	23000000	Rural	ACLI19_g65613
14	22950000	23000000	Rural	ACLI19_g65607
14	22950000	23000000	Rural	ACLI19_g65611
9	29850000	29900000	Rural	ACLI19_g42621
9	29850000	29900000	Rural	ACLI19_g42622
9	29850000	29900000	Rural	ACLI19_g42623
9	29850000	29900000	Rural	ACLI19_g42624
16	13450000	13500000	Rural	ACLI19_g74737
16	13450000	13500000	Rural	ACLI19_g74738
16	13450000	13500000	Rural	ACLI19_g74739
1	32300000	32350000	Rural	ACLI19_g3139
1	32300000	32350000	Rural	ACLI19_g3140
2	43850000	43900000	Rural	ACLI19_g9091
2	43850000	43900000	Rural	ACLI19_g9092
2	43850000	43900000	Rural	ACLI19_g9093
6	61450000	61500000	Rural	ACLI19_g29775
6	61450000	61500000	Rural	ACLI19_g29777
6	61450000	61500000	Rural	ACLI19_g29776
13	37600000	37650000	Rural	ACLI19_g61413
14	15050000	15100000	Rural	ACLI19_g64963
14	15050000	15100000	Rural	ACLI19_g64964
11	4200000	4250000	Rural	ACLI19_g50319
11	4200000	4250000	Rural	ACLI19_g50320
11	4200000	4250000	Rural	ACLI19_g50322
11	4200000	4250000	Rural	ACLI19_g50323
11	4200000	4250000	Rural	ACLI19_g50324
11	4200000	4250000	Rural	ACLI19_g50325
11	4200000	4250000	Rural	ACLI19_g50326
11	4200000	4250000	Rural	ACLI19_g50321
2	27250000	27300000	Rural	ACLI19_g8438
2	27250000	27300000	Rural	ACLI19_g8439
6	22650000	22700000	Rural	ACLI19_g26544
6	22650000	22700000	Rural	ACLI19_g26546
6	22650000	22700000	Rural	ACLI19_g26545
10	30800000	30850000	Rural	ACLI19_g47369
10	30800000	30850000	Rural	ACLI19_g47370
6	58350000	58400000	Rural	ACLI19_g29375
6	58350000	58400000	Rural	ACLI19_g29376
6	58350000	58400000	Rural	ACLI19_g29377
6	58350000	58400000	Rural	ACLI19_g29379
6	58350000	58400000	Rural	ACLI19_g29380
6	58350000	58400000	Rural	ACLI19_g29381
6	58350000	58400000	Rural	ACLI19_g29382
6	58350000	58400000	Rural	ACLI19_g29383
6	58350000	58400000	Rural	ACLI19_g29384
6	58350000	58400000	Rural	ACLI19_g29378
5	46600000	46650000	Rural	ACLI19_g22890
5	46600000	46650000	Rural	ACLI19_g22891
5	46600000	46650000	Rural	ACLI19_g22892
5	46600000	46650000	Rural	ACLI19_g22893
5	46600000	46650000	Rural	ACLI19_g22894
5	46600000	46650000	Rural	ACLI19_g22895
5	46600000	46650000	Rural	ACLI19_g22896
5	46600000	46650000	Rural	ACLI19_g22897
5	46600000	46650000	Rural	ACLI19_g22898
8	42200000	42250000	Rural	ACLI19_g38405
1	32400000	32450000	Rural	ACLI19_g3141
3	8650000	8700000	Rural	ACLI19_g12238
3	8650000	8700000	Rural	ACLI19_g12239
3	8650000	8700000	Rural	ACLI19_g12240
8	57850000	57900000	Rural	ACLI19_g40135
8	57850000	57900000	Rural	ACLI19_g40136
14	1550000	1600000	Rural	ACLI19_g63650
14	1550000	1600000	Rural	ACLI19_g63651
14	1550000	1600000	Rural	ACLI19_g63652
14	1550000	1600000	Rural	ACLI19_g63653
14	1550000	1600000	Rural	ACLI19_g63654
14	1550000	1600000	Rural	ACLI19_g63655
9	57550000	57600000	Rural	ACLI19_g45056
9	57550000	57600000	Rural	ACLI19_g45057
9	57550000	57600000	Rural	ACLI19_g45058
9	57550000	57600000	Rural	ACLI19_g45059
9	57550000	57600000	Rural	ACLI19_g45060
9	57550000	57600000	Rural	ACLI19_g45061
9	57550000	57600000	Rural	ACLI19_g45062
9	57550000	57600000	Rural	ACLI19_g45063
9	57550000	57600000	Rural	ACLI19_g45065
9	57550000	57600000	Rural	ACLI19_g45064
9	41850000	41900000	Rural	ACLI19_g43358
9	41850000	41900000	Rural	ACLI19_g43357
9	41850000	41900000	Rural	ACLI19_g43359
4	40300000	40350000	Rural	ACLI19_g18128
4	40300000	40350000	Rural	ACLI19_g18129
4	40300000	40350000	Rural	ACLI19_g18130
4	40300000	40350000	Rural	ACLI19_g18131
7	59950000	60000000	Rural	ACLI19_g34580
7	59950000	60000000	Rural	ACLI19_g34581
7	59950000	60000000	Rural	ACLI19_g34582
7	59950000	60000000	Rural	ACLI19_g34583
7	59950000	60000000	Rural	ACLI19_g34584
7	59950000	60000000	Rural	ACLI19_g34579
7	59950000	60000000	Rural	ACLI19_g34585
6	17400000	17450000	Rural	ACLI19_g26087
6	17400000	17450000	Rural	ACLI19_g26088
6	17400000	17450000	Rural	ACLI19_g26089
6	17400000	17450000	Rural	ACLI19_g26090
9	6050000	6100000	Rural	ACLI19_g41100
9	6050000	6100000	Rural	ACLI19_g41101
9	6050000	6100000	Rural	ACLI19_g41102
9	6050000	6100000	Rural	ACLI19_g41103
9	6050000	6100000	Rural	ACLI19_g41104
7	400000	450000	Rural	ACLI19_g29826
7	400000	450000	Rural	ACLI19_g29827
7	400000	450000	Rural	ACLI19_g29828
7	400000	450000	Rural	ACLI19_g29829
7	400000	450000	Rural	ACLI19_g29831
7	400000	450000	Rural	ACLI19_g29830
11	8400000	8450000	Rural	ACLI19_g50714
11	8400000	8450000	Rural	ACLI19_g50715
11	8400000	8450000	Rural	ACLI19_g50716
11	8400000	8450000	Rural	ACLI19_g50717
11	8400000	8450000	Rural	ACLI19_g50718
11	8400000	8450000	Rural	ACLI19_g50713
16	2050000	2100000	Rural	ACLI19_g73510
16	2050000	2100000	Rural	ACLI19_g73511
16	2050000	2100000	Rural	ACLI19_g73513
16	2050000	2100000	Rural	ACLI19_g73514
16	2050000	2100000	Rural	ACLI19_g73515
16	2050000	2100000	Rural	ACLI19_g73512
13	44000000	44050000	Rural	ACLI19_g61870
13	44000000	44050000	Rural	ACLI19_g61871
14	29850000	29900000	Rural	ACLI19_g66011
10	20150000	20200000	Rural	ACLI19_g46995
10	20150000	20200000	Rural	ACLI19_g46996
11	17300000	17350000	Rural	ACLI19_g51449
11	17300000	17350000	Rural	ACLI19_g51450
11	17300000	17350000	Rural	ACLI19_g51451
13	5800000	5850000	Rural	ACLI19_g59283
13	5800000	5850000	Rural	ACLI19_g59284
13	5800000	5850000	Rural	ACLI19_g59285
13	5800000	5850000	Rural	ACLI19_g59287
13	5800000	5850000	Rural	ACLI19_g59288
13	5800000	5850000	Rural	ACLI19_g59286
10	57300000	57350000	Rural	ACLI19_g49596
10	57300000	57350000	Rural	ACLI19_g49597
10	57300000	57350000	Rural	ACLI19_g49598
10	57300000	57350000	Rural	ACLI19_g49599
10	57300000	57350000	Rural	ACLI19_g49600
10	57300000	57350000	Rural	ACLI19_g49601
10	57300000	57350000	Rural	ACLI19_g49602
9	9150000	9200000	Rural	ACLI19_g41406
9	9150000	9200000	Rural	ACLI19_g41407
1	60900000	60950000	Rural	ACLI19_g4901
1	60900000	60950000	Rural	ACLI19_g4902
1	60900000	60950000	Rural	ACLI19_g4903
1	60900000	60950000	Rural	ACLI19_g4904
1	60900000	60950000	Rural	ACLI19_g4906
1	60900000	60950000	Rural	ACLI19_g4907
1	60900000	60950000	Rural	ACLI19_g4905
13	100000	150000	Rural	ACLI19_g58612
13	100000	150000	Rural	ACLI19_g58613
13	100000	150000	Rural	ACLI19_g58614
13	100000	150000	Rural	ACLI19_g58616
13	100000	150000	Rural	ACLI19_g58617
13	100000	150000	Rural	ACLI19_g58618
13	100000	150000	Rural	ACLI19_g58615
7	250000	300000	Rural	ACLI19_g29809
7	250000	300000	Rural	ACLI19_g29810
7	250000	300000	Rural	ACLI19_g29811
7	250000	300000	Rural	ACLI19_g29812
7	250000	300000	Rural	ACLI19_g29813
7	250000	300000	Rural	ACLI19_g29814
7	250000	300000	Rural	ACLI19_g29815
2	25750000	25800000	Rural	ACLI19_g8290
2	25750000	25800000	Rural	ACLI19_g8292
2	25750000	25800000	Rural	ACLI19_g8289
2	25750000	25800000	Rural	ACLI19_g8291
8	31850000	31900000	Rural	ACLI19_g38026
16	56900000	56950000	Rural	ACLI19_g78039
16	56900000	56950000	Rural	ACLI19_g78040
16	56900000	56950000	Rural	ACLI19_g78041
16	56900000	56950000	Rural	ACLI19_g78043
16	56900000	56950000	Rural	ACLI19_g78042
16	56900000	56950000	Rural	ACLI19_g78044
13	18500000	18550000	Rural	ACLI19_g60489
13	18500000	18550000	Rural	ACLI19_g60490
13	18500000	18550000	Rural	ACLI19_g60491
13	18500000	18550000	Rural	ACLI19_g60492
13	18500000	18550000	Rural	ACLI19_g60493
13	18500000	18550000	Rural	ACLI19_g60494
13	18500000	18550000	Rural	ACLI19_g60496
13	18500000	18550000	Rural	ACLI19_g60495
13	18500000	18550000	Rural	ACLI19_g60497
9	2300000	2350000	Rural	ACLI19_g40679
9	2300000	2350000	Rural	ACLI19_g40680
9	2300000	2350000	Rural	ACLI19_g40682
9	2300000	2350000	Rural	ACLI19_g40683
9	2300000	2350000	Rural	ACLI19_g40681
9	2300000	2350000	Rural	ACLI19_g40684
13	37300000	37350000	Rural	ACLI19_g61404
13	37300000	37350000	Rural	ACLI19_g61406
13	37300000	37350000	Rural	ACLI19_g61405
8	30850000	30900000	Rural	ACLI19_g37982
8	30850000	30900000	Rural	ACLI19_g37983
8	30850000	30900000	Rural	ACLI19_g37984
8	30850000	30900000	Rural	ACLI19_g37985
14	10650000	10700000	Rural	ACLI19_g64586
14	10650000	10700000	Rural	ACLI19_g64587
14	10650000	10700000	Rural	ACLI19_g64588
14	10650000	10700000	Rural	ACLI19_g64589
14	10650000	10700000	Rural	ACLI19_g64590
14	10650000	10700000	Rural	ACLI19_g64591
14	10650000	10700000	Rural	ACLI19_g64585
7	6950000	7000000	Rural	ACLI19_g30673
7	6950000	7000000	Rural	ACLI19_g30675
7	6950000	7000000	Rural	ACLI19_g30676
7	6950000	7000000	Rural	ACLI19_g30677
7	6950000	7000000	Rural	ACLI19_g30678
7	6950000	7000000	Rural	ACLI19_g30679
7	6950000	7000000	Rural	ACLI19_g30680
7	6950000	7000000	Rural	ACLI19_g30674
13	18450000	18500000	Rural	ACLI19_g60482
13	18450000	18500000	Rural	ACLI19_g60483
13	18450000	18500000	Rural	ACLI19_g60485
13	18450000	18500000	Rural	ACLI19_g60486
13	18450000	18500000	Rural	ACLI19_g60487
13	18450000	18500000	Rural	ACLI19_g60489
13	18450000	18500000	Rural	ACLI19_g60484
13	18450000	18500000	Rural	ACLI19_g60488
13	3550000	3600000	Rural	ACLI19_g59012
13	3550000	3600000	Rural	ACLI19_g59013
13	3550000	3600000	Rural	ACLI19_g59014
13	3550000	3600000	Rural	ACLI19_g59015
13	3550000	3600000	Rural	ACLI19_g59017
13	3550000	3600000	Rural	ACLI19_g59018
13	3550000	3600000	Rural	ACLI19_g59019
13	3550000	3600000	Rural	ACLI19_g59016
3	43850000	43900000	Rural	ACLI19_g14294
3	43850000	43900000	Rural	ACLI19_g14295
3	43850000	43900000	Rural	ACLI19_g14296
3	43850000	43900000	Rural	ACLI19_g14297
3	43850000	43900000	Rural	ACLI19_g14298
6	53900000	53950000	Rural	ACLI19_g28860
6	53900000	53950000	Rural	ACLI19_g28861
6	53900000	53950000	Rural	ACLI19_g28862
16	1900000	1950000	Rural	ACLI19_g73495
16	1900000	1950000	Rural	ACLI19_g73496
16	1900000	1950000	Rural	ACLI19_g73498
16	1900000	1950000	Rural	ACLI19_g73500
16	1900000	1950000	Rural	ACLI19_g73494
16	1900000	1950000	Rural	ACLI19_g73497
16	1900000	1950000	Rural	ACLI19_g73499
3	45800000	45850000	Rural	ACLI19_g14417
3	45800000	45850000	Rural	ACLI19_g14418
3	45800000	45850000	Rural	ACLI19_g14419
3	45800000	45850000	Rural	ACLI19_g14420
3	45800000	45850000	Rural	ACLI19_g14421
10	57350000	57400000	Rural	ACLI19_g49602
10	57350000	57400000	Rural	ACLI19_g49604
10	57350000	57400000	Rural	ACLI19_g49605
10	57350000	57400000	Rural	ACLI19_g49606
10	57350000	57400000	Rural	ACLI19_g49607
10	57350000	57400000	Rural	ACLI19_g49608
10	57350000	57400000	Rural	ACLI19_g49603
15	28150000	28200000	Rural	ACLI19_g70934
15	28150000	28200000	Rural	ACLI19_g70935
15	28150000	28200000	Rural	ACLI19_g70936
15	28150000	28200000	Rural	ACLI19_g70937
15	28150000	28200000	Rural	ACLI19_g70938
1	45000000	45050000	Rural	ACLI19_g3570
1	45000000	45050000	Rural	ACLI19_g3571
1	45000000	45050000	Rural	ACLI19_g3572
1	45000000	45050000	Rural	ACLI19_g3573
1	45000000	45050000	Rural	ACLI19_g3574
1	45000000	45050000	Rural	ACLI19_g3575
10	51800000	51850000	Rural	ACLI19_g48958
10	51800000	51850000	Rural	ACLI19_g48959
10	51800000	51850000	Rural	ACLI19_g48960
10	51800000	51850000	Rural	ACLI19_g48961
10	51800000	51850000	Rural	ACLI19_g48962
10	51800000	51850000	Rural	ACLI19_g48963
12	60100000	60150000	Rural	ACLI19_g58370
12	60100000	60150000	Rural	ACLI19_g58371
12	60100000	60150000	Rural	ACLI19_g58372
12	60100000	60150000	Rural	ACLI19_g58373
12	60100000	60150000	Rural	ACLI19_g58374
11	18650000	18700000	Rural	ACLI19_g51548
11	18650000	18700000	Rural	ACLI19_g51549
11	18650000	18700000	Rural	ACLI19_g51550
11	18650000	18700000	Rural	ACLI19_g51551
11	18650000	18700000	Rural	ACLI19_g51552
11	18650000	18700000	Rural	ACLI19_g51553
11	18650000	18700000	Rural	ACLI19_g51554
4	21650000	21700000	Rural	ACLI19_g17133
4	21650000	21700000	Rural	ACLI19_g17135
4	21650000	21700000	Rural	ACLI19_g17136
